SABAP2_number,Alphabetical_name,SA_name,Scientific_name,BLI_scientific_name,Assessment_status,ebirds_name,inat_name
707,"Fiscal, Southern (Common)",Southern (Common) Fiscal,Lanius collaris,Lanius collaris,Assessable,Lanius collaris,Lanius collaris
86,"Flamingo, Greater",Greater Flamingo,Phoenicopterus roseus,Phoenicopterus roseus,Assessable,Phoenicopterus roseus,Phoenicopterus roseus
87,"Flamingo, Lesser",Lesser Flamingo,Phoeniconaias minor,Phoeniconaias minor,Assessable,Phoeniconaias minor,Phoeniconaias minor
206,"Flufftail, Buff-spotted",Buff-spotted Flufftail,Sarothrura elegans,Sarothrura elegans,Assessable,Sarothrura elegans,Sarothrura elegans
205,"Flufftail, Red-chested",Red-chested Flufftail,Sarothrura rufa,Sarothrura rufa,Assessable,Sarothrura rufa,Sarothrura rufa
892,"Flufftail, Streaky-breasted",Streaky-breasted Flufftail,Sarothrura boehmi,Sarothrura boehmi,Vagrant,Sarothrura boehmi,Sarothrura boehmi
207,"Flufftail, Striped",Striped Flufftail,Sarothrura affinis,Sarothrura affinis,Assessable,Sarothrura affinis,Sarothrura affinis
204,"Flufftail, White-winged",White-winged Flufftail,Sarothrura ayresi,Sarothrura ayresi,Assessable,Sarothrura ayresi,
655,"Flycatcher, African Dusky",African Dusky Flycatcher,Muscicapa adusta,Muscicapa adusta,Assessable,Muscicapa adusta,Muscicapa adusta
682,"Flycatcher, African Paradise",African Paradise Flycatcher,Terpsiphone viridis,Terpsiphone viridis,Assessable,Terpsiphone viridis,Terpsiphone viridis
656,"Flycatcher, Ashy",Ashy Flycatcher,Muscicapa caerulescens,Fraseria caerulescens,Assessable,Muscicapa caerulescens,Muscicapa caerulescens
